Month,Year,Model,Month_Sin,Month_Cos,Merk_Brother,Merk_Canon,Merk_Epson,Merk_HP,Kerusakan_0,Kerusakan_1,Kerusakan_2,Kerusakan_3,Kerusakan_4,Kerusakan_5,Kerusakan_6,Kerusakan_7,Kerusakan_8,Kerusakan_9,Kerusakan_10,Kerusakan_11,Kerusakan_12,Kerusakan_13,Kerusakan_14,Kerusakan_15,Kerusakan_16,Kerusakan_17,Kerusakan_18,Komponen_0,Komponen_1,Komponen_2,Komponen_3,Komponen_4,Komponen_5,Komponen_6,Komponen_7,Komponen_8,Komponen_9,Komponen_10,Komponen_11,Komponen_12,Komponen_13,Komponen_14,Komponen_15,Komponen_16,Komponen_17,Komponen_18,Komponen_19
10,2,49,-0.8660254037844386,0.5000000000000001,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9,0,60,-1.0,-1.83697019872103e-16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6,3,31,1.224646799147353e-16,-1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,0,54,-0.8660254037844385,-0.5000000000000004,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,1,19,1.0,6.123233995736766e-17,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,56,0.4999999999999999,0.8660254037844387,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,4,35,1.0,6.123233995736766e-17,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,3,58,0.4999999999999999,-0.8660254037844387,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,5,6,0.4999999999999999,-0.8660254037844387,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,0,27,1.224646799147353e-16,-1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,4,59,0.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,3,34,-0.8660254037844385,-0.5000000000000004,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,31,0.4999999999999999,0.8660254037844387,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,4,50,0.4999999999999999,0.8660254037844387,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,3,24,0.8660254037844387,-0.4999999999999998,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
